ukprn,year,measure,group,number,provider
10007783,2014/15,total,All,14035,The University of Aberdeen
10019746,2014/15,total,All,110,ABI College Limited
10007849,2014/15,total,All,4220,Abertay University
10007856,2014/15,total,All,9835,Aberystwyth University
10000080,2014/15,total,All,70,Access to Music Limited
10000248,2014/15,total,All,195,Academy of Live and Recorded Arts
10000291,2014/15,total,All,19830,Anglia Ruskin University
10000381,2014/15,total,All,245,Arts Educational Schools
10007759,2014/15,total,All,11070,Aston University
10007857,2014/15,total,All,10765,Bangor University
10000571,2014/15,total,All,7380,Bath Spa University
10007850,2014/15,total,All,15570,The University of Bath
10007152,2014/15,total,All,15655,University of Bedfordshire
10005343,2014/15,total,All,23855,Queen's University Belfast
10037544,2014/15,total,All,2225,BIMM University
10007760,2014/15,total,All,13935,Birkbeck College
10007140,2014/15,total,All,23335,Birmingham City University
10006840,2014/15,total,All,34160,The University of Birmingham
10000712,2014/15,total,All,4855,University College Birmingham
10007832,2014/15,total,All,2725,Birmingham Newman University
10004061,2014/15,total,All,940,Bloomsbury Institute
10000385,2014/15,total,All,2955,The Arts University Bournemouth
10000824,2014/15,total,All,18225,Bournemouth University
10031982,2014/15,total,All,4835,BPP University
10007785,2014/15,total,All,11520,The University of Bradford
10000886,2014/15,total,All,20685,The University of Brighton
10007786,2014/15,total,All,21555,The University of Bristol
10028216,2014/15,total,All,535,Brit College
10000961,2014/15,total,All,13720,Brunel University London
10000975,2014/15,total,All,9035,Buckinghamshire New University
10007787,2014/15,total,All,2245,The University of Buckingham
10022021,2014/15,total,All,1705,UK College of Business and Computing
10019368,2014/15,total,All,510,London College of Business Studies
10007788,2014/15,total,All,19515,The University of Cambridge
10003324,2014/15,total,All,300,The Institute of Cancer Research
10001143,2014/15,total,All,16020,Canterbury Christ Church University
10007814,2014/15,total,All,30480,Cardiff University
10007854,2014/15,total,All,13670,Cardiff Metropolitan University
10007848,2014/15,total,All,15130,University of Chester
10007137,2014/15,total,All,5445,The University of Chichester
10001386,2014/15,total,All,75,Chicken Shed Theatre Company
